STBIOMSha,Pct_all_returns_above_ht,pct_all_returns_above_mean,all_returns_above_ht_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,Pct_first_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100
72.6735805,37.72,22.93,45.66,21.03,42.06,27.59,20.87,17.37,27.75
38.6225115,21.56,10.95,23.52,15.48,23.37,11.94,15.48,14.19,11.94
58.3909115,36.7,18.38,42.85,37.32,41.56,21.29,36.49,31.96,21.47
44.1082425,28.77,15.78,35.01,26.32,33.94,19.12,26.24,21.63,19.2
65.482825,38.78,20.88,46.9,23.34,42.31,24.81,22.98,19.29,25.26
168.476189,53.75,25.89,67.84,43.42,61.16,30.66,40.41,34.4,32.67
224.7914185,40.48,22.57,48.86,18.25,43.17,26.21,17.66,15.12,27.24
132.3741485,57.96,34.15,80.8,50.04,77.87,47.61,50.04,35.89,47.61
124.2196835,58.13,36.01,76.23,27.52,71.51,47.01,27.52,20.99,47.23
205.047729,59.77,30.95,84.25,53.81,75.92,42.36,51.85,38.17,43.63
215.4508495,54.8,31.48,74.45,26.7,69.01,42.42,26.58,19.65,42.77
136.154855,38,20.46,45.08,10.61,41.4,23.99,10.54,8.94,24.27
130.669124,57.49,29.55,69.43,45.67,64.84,35.42,45.05,37.82,35.68
90.588693,35.39,18.73,40.95,23.44,40.12,21.67,23.44,20.26,21.67
128.8158365,54.17,28.97,72.49,29.28,69.56,38.68,29.28,21.88,38.77
144.5317145,44.97,23.89,57.76,12.19,52.71,30.52,12.19,9.49,30.68
159.0120675,56.69,31.52,73.74,27.91,71.38,40.99,27.91,21.46,40.99
69.881294,46.4,27.01,55.59,27.9,51.57,32.02,27.77,23.29,32.37
66.5453765,33.03,15.98,36.9,17.29,36.22,17.8,17.23,15.48,17.85
20.6332675,12.98,6.64,13.69,5.29,13.12,6.92,5.25,5.02,7
98.2242375,39.89,20.01,48.85,24.65,47.54,24.5,24.65,20.13,24.5
73.1677905,34.07,16.94,39.78,34.28,37.67,19.57,32.85,29.36,19.78
21.7699505,39.73,20.6,49.56,44.54,44.83,23.76,40.86,35.7,25.7
170.304766,57.93,34.72,80.49,28.67,65.73,42.06,27.04,20.63,48.24
235.095697,59.53,32.47,74.14,12.15,64.86,38.78,12.15,9.76,40.44
152.315522,47.43,23.56,58.21,50.7,54.92,28.63,48.54,41.31,28.92
30.1715205,22.5,12.47,25.52,12.39,22.49,13.93,12.32,10.92,14.14
113.0999585,40.2,21.98,51.65,25.04,50.14,28.07,24.92,19.49,28.24
71.2897925,36.37,17.73,47.24,27.68,45.45,22.93,27.27,21.31,23.03
74.922236,28.22,15.36,31.03,13.84,29.06,16.69,13.68,12.59,16.9
141.690007,56.17,23.73,80.76,66.05,69.72,29.51,58.76,45.94,34.12
169.464609,56.46,30.29,74.45,30.5,68.37,39.79,30.42,23.13,39.95
124.5656305,61.5,32.29,82.18,36.61,77.17,42.12,35.9,27.4,43.15
135.9818815,50.51,28.54,70.6,28.67,62.98,37.97,27.77,20.51,39.89
188.738799,63.04,35.25,86.1,50.89,75.19,47.39,49.93,37.26,48.14
73.4148955,37.26,20.93,46.17,18.58,42.3,25.36,18.29,15,25.94
413.1842705,72.23,44.17,102.02,21.15,87.99,60.66,21.15,14.97,62.38
180.2630975,55.7,33.69,77.38,26.29,70.77,45.67,26.22,18.92,46.8
